USERNAME, YYB WINS, YYB DRAWS, YYB LOSSES, YYB GOALS, YYB GPG AVG, SLSL WINS, SLSL HIGH SCORE, MSN WINS, MSN HIGH SCORE, SOSD WINS, SOSD HIGH SCORE,Points
bongo_58,355,0,0,4059,11.43,147,907,559,5127,575,1171,6276
d_a_r_e,200,0,0,1979,9.9,0,0,300,4679,8822,1180,11522
frogyf,12,0,0,94,7.83,7,558,130,5524,131,1182,447
honorrolle,386,0,0,4469,11.58,127,969,425,5819,3166,1182,8985
i_will_always_luv_me,3,0,0,14,4.67,0,0,11,2408,3,759,50
lockheaarts,0,1,0,0,0,148,317,65,5175,321,1150,1278
mahnoosh,24,0,0,176,7.33,0,0,0,0,0,0,288
merpiie,41,0,0,327,7.98,2,151,0,0,4,785,508
reply,184,0,0,1502,8.16,10,290,60,6187,805,931,3133
sosunub,0,0,0,0,0,0,0,0,0,220,1161,220
sunshine482,0,0,0,0,0,0,0,0,0,6,906,6
atritas,190,0,0,1763,9.28,109,865,149,5674,3,421,3086
_new_cassalla_,57,2,1,454,7.57,13,353,150,6092,412,1163,1336
apostrasia,20,6,2,176,6.29,121,693,777,6619,22,1118,1797
buzzmoe,0,0,0,0,0,0,0,0,0,1136,1184,1136
cymrhi,19,0,1,166,8.3,1,206,0,0,14,824,252
darkenxhearts,0,0,0,0,0,0,0,2,4023,1,374,3
deminder,250,0,0,2415,9.66,150,846,0,0,100,914,4000
eleganza_lights,721,0,0,8089,11.22,76,548,4,4259,2968,1182,12080
filotimo,19,0,0,166,8.74,0,0,0,0,0,0,228
imgonnageta,16,0,0,137,8.56,1,533,1,4875,21,833,220
mouse_lover_300,131,0,1,1317,9.98,11,52,1,3731,12,919,1655
x__pandora,19,1,0,123,6.15,0,0,2,4658,0,0,234
fightincolts,73,0,0,718,9.84,1,90,3,4225,28,1133,913
butseriously,0,0,0,0,0,2,374,10,5147,0,0,22
d0odleb3rry,0,0,0,0,0,3,806,0,0,0,0,18
elhiwe,650,1,0,5774,8.87,111,899,270,7630,60,1158,8800
goosesticks,18,1,0,118,6.21,0,0,0,0,0,0,220
juliadoglover11405,164,0,0,1548,9.44,39,361,35,3487,4696,1160,6933
mizsango,0,0,0,0,0,0,0,0,0,0,0,0
mrsinvicta,341,0,0,2906,8.52,384,790,1854,5499,558,907,8808
superkathiee,606,0,0,6145,10.14,303,1242,2121,8846,4242,1182,15453
taty_87,520,0,0,5166,9.93,50,980,500,6114,500,1181,7540
wowmom104,82,0,0,756,9.22,34,877,55,4716,10,774,1253
xbebechloex,299,0,0,2483,8.3,57,499,2423,6899,2807,1122,9160
aikuanda,500,0,0,5439,10.88,10,828,800,6498,2200,1165,9060
justiquen,450,0,0,5000,11.11,54,565,1050,6883,4768,1190,11542
pequepanda,353,0,0,4415,12.51,10,776,420,6837,4171,1167,8887
roxi2rox,459,0,0,4996,10.88,48,602,110,5687,2983,1159,8889
erliane,0,0,0,0,0,0,0,0,0,1,523,1
hilary_duff_fan_16,153,1,2,1222,7.83,4,178,297,5945,941,1091,3110
hummush,0,0,0,0,0,0,0,0,0,0,0,0
hunni_bun_137,100,0,0,993,9.93,1,230,10,5197,1,353,1217
toastedmarshmallows,0,0,0,0,0,1,411,1,4148,0,0,7
xeyota__fh,98,0,0,817,8.34,4,282,35,5708,28,918,1263
TOTALS,7513,13,7,75922,,2039,,12630,,46736,,161836
